transaction_id,booking_jurisdiction,regulator,booking_datetime,value_date,amount,currency,channel,product_type,originator_name,originator_account,originator_country,beneficiary_name,beneficiary_account,beneficiary_country,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_id,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,narrative,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,suspicion_determined_datetime,str_filed_datetime
ad66338d-b17f-47fc-a966-1b4395351b41,HK,HKMA/SFC,2024-10-10T10:24:43,10/10/2024,590012.92,HKD,RTGS,fx_conversion,Meredith Krueger,GB91GCCI85456233719196,AE,Natalie Sandoval,GB80LAUP42959382164081,CN,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-786015,corporate,Low,FALSE,16/1/2023,15/7/2023,FALSE,TRUE,TRUE,SAL,Least charge music anything wish practice.,FALSE,FALSE,Low,TRUE,match,FALSE,TRUE,TRUE,0,1,potential,,
135cef35-c054-46f0-8d8d-daedb7429de4,SG,MAS,2024-02-23T23:56:23,23/2/2024,1319007.62,GBP,SWIFT,fx_conversion,Jennifer Parker,GB39OOLA52427580832378,TH,George Brown,GB88KUDJ48147748190437,CN,,,,TRUE,TRUE,,,TRUE,TRUE,CNY,JPY,0.674205,0.673868,5,Chan-Reed,CUST-278449,domiciliary_company,Low,FALSE,25/12/2021,23/6/2022,FALSE,TRUE,TRUE,EDU,My why building or health couple record talk allow institution.,FALSE,FALSE,High,TRUE,match,FALSE,TRUE,TRUE,0,1,none,,
f037efc0-8438-4af3-9f68-959cd9c9dcb2,CH,FINMA,2024-06-26T23:40:37,26/6/2024,233935.3,GBP,FAST (SG),wire_transfer,Nicole Guerra DVM,GB61CLBF11432797139540,VN,Candace Nichols,GB75GNZJ38259031799913,CH,MT202COV,FPLQBQHF,GYXPRCKK,TRUE,TRUE,Say Congress where goal address.,BEN,TRUE,TRUE,EUR,SGD,0.96992,0.967501,25,Perez and Sons,CUST-398810,corporate,Low,FALSE,2/4/2023,29/9/2023,FALSE,TRUE,TRUE,INV,Fish analysis billion threat hear daughter send say what.,FALSE,FALSE,Low,TRUE,match,FALSE,TRUE,TRUE,0,1,potential,,
f7589c12-dccb-4ae1-8ad3-324db3316a56,HK,HKMA/SFC,2024-05-03T00:08:29,3/5/2024,1778002.31,GBP,SEPA,fx_conversion,Jeremy Williams,GB56TQOT03483189875583,AU,Connor Smith,GB19HQGX56751391902097,US,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-337880,individual,Low,FALSE,29/1/2021,28/7/2021,FALSE,TRUE,TRUE,TAX,Behind billion security film of magazine with forward morning music.,FALSE,FALSE,Balanced,TRUE,match,FALSE,TRUE,TRUE,0,1,none,,
66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,SG,MAS,2024-12-03T13:58:10,3/12/2024,2479099.4,HKD,RTGS,fx_conversion,Mr. John Turner MD,GB30TZUH89833514426746,HK,Roy Rodriguez,GB60ORBY07341123489694,DE,,,,TRUE,TRUE,,,TRUE,TRUE,SGD,CHF,1.354146,1.352118,15,Dean-Lowery,CUST-971549,individual,Low,TRUE,20/10/2023,19/10/2024,TRUE,TRUE,TRUE,TAX,Movement success popular senior whole buy similar.,FALSE,FALSE,High,TRUE,match,FALSE,TRUE,TRUE,0,1,potential,,
15ce0bc5-e37b-4279-90ee-e5d289713d46,SG,MAS,2024-06-02T12:05:23,2/6/2024,1991250.25,CHF,SEPA,fund_subscription,Kimberly Rogers,GB60UEDX03084750618054,US,Becky Bass,GB72ZEFA84705917257543,TH,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-314021,corporate,Medium,FALSE,10/10/2022,10/10/2023,FALSE,TRUE,TRUE,LEA,Four cover improve leave career issue world hot police with.,FALSE,TRUE,Low,TRUE,match,TRUE,FALSE,TRUE,0,1,none,,
ab58ad97-aef7-49bf-a177-60f1e2d6c797,CH,FINMA,2024-02-21T21:07:34,21/2/2024,299182.31,CNY,FAST (SG),securities_trade,Glenn Graham,GB18FCDE63247865245111,HK,Jason Herman MD,GB55AUUF48704717868696,JP,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-765698,domiciliary_company,Low,FALSE,19/1/2021,19/1/2023,FALSE,TRUE,TRUE,MED,Thank never ability edge rate stage summer again.,FALSE,FALSE,Balanced,TRUE,match,FALSE,TRUE,TRUE,0,1,none,,
0dc32466-81f2-4749-8cc7-964c79d0f008,HK,HKMA/SFC,2024-06-14T00:18:25,14/6/2024,9428.14,GBP,Cash,cash_deposit,Michael Bennett,GB30HXVR68088439228730,IR,Vanessa Kim,GB86PGCT62374347986076,TH,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-790068,individual,Low,FALSE,10/11/2020,10/11/2022,FALSE,TRUE,TRUE,EDU,Onto serious deal federal say six certain anything born.,FALSE,FALSE,High,TRUE,match,FALSE,TRUE,TRUE,30585.96,5,potential,,
e8db37cf-2a87-404b-af55-bc48ed06a1e1,SG,MAS,2025-01-26T12:14:06,26/1/2025,1246895.32,HKD,FPS (HK),fund_subscription,Jimmy Hart,GB37PMHN24174670808707,RU,Michael White,GB72ISXP89877669817370,RU,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-351699,domiciliary_company,Medium,FALSE,25/3/2024,25/3/2026,FALSE,TRUE,TRUE,INV,Democratic and street heavy foreign become member north pick.,FALSE,TRUE,High,TRUE,match,FALSE,TRUE,TRUE,0,1,potential,,
5a5ba79d-09f6-46ba-bc74-e715f721ec34,CH,FINMA,2024-10-29T23:23:38,29/10/2024,20000,CHF,FPS (HK),cash_deposit,Johnathan Arroyo,GB87LHNX15336217030570,CN,Thomas Thomas,GB53PNBY13656877808614,VN,,,,TRUE,TRUE,,,TRUE,FALSE,,,0,0,0,,CUST-352944,domiciliary_company,Low,FALSE,10/4/2021,10/4/2022,FALSE,TRUE,TRUE,GDS,Hope letter production wind special discuss boy man black audience.,FALSE,FALSE,Low,TRUE,match,FALSE,TRUE,FALSE,0,1,none,,
